#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_166	12252	4	N	N	1	both	*	166
contig_167	22478	4	N	N	1	both	*	167
contig_168	29990	5	N	N	1	both	*	168
contig_169	10966	3	N	N	1	both	*	169
contig_170	87399	6	N	N	1	both	*	170
contig_171	16042	5	N	N	1	both	*	171
contig_172	44299	4	N	N	1	both	*	172
contig_173	19191	3	N	N	1	both	*	173
contig_174	18576	4	N	N	1	both	*	174
contig_175	23274	3	N	N	1	both	*	175
contig_176	16784	3	N	N	1	both	*	176
contig_177	26936	7	N	N	1	both	*	177
contig_178	23623	3	N	N	1	both	*	178
contig_179	5877	3	N	N	1	both	*	179
contig_180	82420	3	N	N	1	both	*	180
contig_181	7203	7	N	N	1	both	*	181
contig_182	6823	4	N	N	1	both	*	182
contig_183	18831	4	N	N	1	both	*	183
contig_184	14422	4	N	N	1	both	*	184
contig_185	18757	5	N	N	1	both	*	185
contig_186	14583	4	N	N	1	both	*	186
contig_187	41434	3	N	N	1	both	*	187
contig_188	83242	5	N	N	1	both	*	188
contig_189	9960	3	N	N	1	both	*	189
contig_190	23804	3	N	N	1	both	*	190
contig_191	17015	5	N	N	1	both	*	191
contig_192	20002	5	N	N	1	both	*	192
contig_193	14377	5	N	N	1	both	*	193
contig_194	46712	5	N	N	1	both	*	194
contig_195	15474	3	N	N	1	both	*	195
contig_196	20436	5	N	N	1	both	*	196
contig_198	58491	6	N	N	1	both	*	198
contig_199	26226	7	N	N	1	both	*	199
contig_200	19693	4	N	N	1	both	*	200
contig_201	29033	6	N	N	1	both	*	201
contig_202	10690	4	N	N	1	both	*	202
contig_203	18847	4	N	N	1	both	*	203
contig_204	21130	4	N	N	1	both	*	204
contig_205	14223	3	N	N	1	both	*	205
contig_206	17762	4	N	N	1	both	*	206
contig_207	10405	6	N	N	1	both	*	207
contig_208	9388	3	N	N	1	both	*	208
contig_209	41215	6	N	N	1	both	*	209
contig_210	14450	4	N	N	1	both	*	210
contig_211	13201	4	N	N	1	both	*	211
contig_212	15504	5	N	N	1	both	*	212
contig_213	20387	6	N	N	1	both	*	213
contig_214	21082	3	N	N	1	both	*	214
contig_215	9284	3	N	N	1	both	*	215
contig_216	9709	4	N	N	1	both	*	216
contig_217	19539	3	N	N	1	both	*	217
contig_218	27764	5	N	N	1	both	*	218
contig_219	75672	7	N	N	1	both	*	219
contig_220	6551	3	N	N	1	both	*	220
contig_221	14209	3	N	N	1	both	*	221
contig_222	14455	3	N	N	1	both	*	222
contig_223	10992	7	N	N	1	both	*	223
contig_224	38652	4	N	N	1	both	*	224
contig_225	18948	5	N	N	1	both	*	225
contig_226	14419	3	N	N	1	both	*	226
contig_227	17049	3	N	N	1	both	*	227
contig_228	24840	5	N	N	1	both	*	228
contig_229	10559	3	N	N	1	both	*	229
contig_230	21049	5	N	N	1	both	*	230
contig_232	15800	3	N	N	1	both	*	232
contig_233	5603	3	N	N	1	both	*	233
contig_234	18080	3	N	N	1	both	*	234
contig_235	13649	5	N	N	1	both	*	235
contig_236	34969	4	N	N	1	both	*	236
contig_237	16066	3	N	N	1	both	*	237
contig_238	183714	6	N	N	1	both	*	238
contig_239	20977	4	N	N	1	both	*	239
contig_240	35572	3	N	N	1	both	*	240
contig_241	15791	4	N	N	1	both	*	241
contig_242	25574	5	N	N	1	both	*	242
contig_243	14179	3	N	N	1	both	*	243
contig_244	14740	5	N	N	1	both	*	244
contig_245	10274	3	N	N	1	both	*	245
contig_246	20093	3	N	N	1	both	*	246
contig_247	147591	6	N	N	1	both	*	247
contig_248	8899	3	N	N	1	both	*	248
contig_249	13142	4	N	N	1	both	*	249
contig_250	20470	3	N	N	1	both	*	250
contig_251	31417	3	N	N	1	both	*	251
contig_252	64291	5	N	N	1	both	*	252
contig_253	16089	4	N	N	1	both	*	253
contig_254	9461	6	N	N	1	both	*	254
contig_255	8212	3	N	N	1	both	*	255
contig_256	50883	6	N	N	1	both	*	256
contig_257	12394	4	N	N	1	both	*	257
contig_258	38975	4	N	N	1	both	*	258
contig_259	11268	3	N	N	1	both	*	259
contig_260	17431	4	N	N	1	both	*	260
contig_261	9254	6	N	N	1	both	*	261
contig_262	11521	3	N	N	1	both	*	262
contig_263	72016	7	N	N	1	both	*	263
contig_264	16396	4	N	N	1	both	*	264
contig_265	17758	5	N	N	1	both	*	265
contig_266	16299	3	N	N	1	both	*	266
contig_267	7115	3	N	N	1	both	*	267
contig_268	11122	5	N	N	1	both	*	268
contig_269	16250	4	N	N	1	both	*	269
contig_270	33045	4	N	N	1	both	*	270
contig_271	9363	3	N	N	1	both	*	271
contig_272	17387	4	N	N	1	both	*	272
contig_273	129170	7	N	N	1	both	*	273
contig_274	10935	3	N	N	1	both	*	274
contig_275	25003	3	N	N	1	both	*	275
contig_276	19444	5	N	N	1	both	*	276
contig_277	133160	6	N	N	1	both	*	277
contig_278	9339	4	N	N	1	both	*	278
contig_279	9295	6	N	N	1	both	*	279
contig_280	16873	7	N	N	1	both	*	280
contig_281	14185	4	N	N	1	both	*	281
contig_282	53988	7	N	N	1	both	*	282
contig_283	44171	6	N	N	1	both	*	283
contig_284	7137	3	N	N	1	both	*	284
contig_285	8090	3	N	N	1	both	*	285
contig_286	9019	3	N	N	1	both	*	286
contig_287	81207	6	N	N	1	both	*	287
contig_288	66022	6	N	N	1	both	*	288
contig_289	40484	6	N	N	1	both	*	289
contig_291	9378	3	N	N	1	both	*	291
contig_292	15001	6	N	N	1	both	*	292
contig_293	16681	4	N	N	1	both	*	293
contig_294	17432	3	N	N	1	both	*	294
contig_295	30794	3	N	N	1	both	*	295
contig_296	9301	5	N	N	1	both	*	296
contig_297	34123	5	N	N	1	both	*	297
contig_298	38060	5	N	N	1	both	*	298
contig_299	10232	7	N	N	1	both	*	299
contig_300	8712	4	N	N	1	both	*	300
contig_301	8389	3	N	N	1	both	*	301
contig_302	19184	6	N	N	1	both	*	302
contig_303	16639	4	N	N	1	both	*	303
contig_304	10587	3	N	N	1	both	*	304
contig_305	17645	4	N	N	1	both	*	305
contig_306	13019	5	N	N	1	both	*	306
contig_307	10202	4	N	N	1	both	*	307
contig_308	6558	3	N	N	1	both	*	308
contig_309	17663	7	N	N	1	both	*	309
contig_310	9547	3	N	N	1	both	*	310
contig_311	15442	3	N	N	1	both	*	311
contig_312	10311	3	N	N	1	both	*	312
contig_313	155647	4	N	N	1	both	*	313
contig_314	11840	4	N	N	1	both	*	314
contig_315	11930	3	N	N	1	both	*	315
contig_316	17774	6	N	N	1	both	*	316
contig_317	31032	6	N	N	1	both	*	317
contig_318	12111	3	N	N	1	both	*	318
contig_319	68998	6	N	N	1	both	*	319
contig_320	6633	3	N	N	1	both	*	320
contig_321	8870	3	N	N	1	both	*	321
contig_322	14984	5	N	N	1	both	*	322
contig_323	59689	6	N	N	1	both	*	323
contig_324	50188	5	N	N	1	both	*	324
contig_325	14172	4	N	N	1	both	*	325
contig_326	19781	6	N	N	1	both	*	326
contig_327	45408	6	N	N	1	both	*	327
contig_328	17602	3	N	N	1	both	*	328
contig_329	189052	7	N	N	1	both	*	329
contig_330	10272	4	N	N	1	both	*	330
contig_331	20621	4	N	N	1	both	*	331
contig_332	61082	6	N	N	1	both	*	332
contig_333	19232	5	N	N	1	both	*	333
contig_334	11553	5	N	N	1	both	*	334
contig_335	89668	7	N	N	1	both	*	335
contig_336	13083	3	N	N	1	both	*	336
contig_337	100258	7	N	N	1	both	*	337
contig_338	17368	3	N	N	1	both	*	338
contig_339	12173	3	N	N	1	both	*	339
contig_340	24593	6	N	N	1	both	*	340
contig_341	57073	6	N	N	1	both	*	341
contig_342	60038	4	N	N	1	both	*	342
contig_343	15120	5	N	N	1	both	*	343
contig_344	7296	3	N	N	1	both	*	344
contig_345	16515	3	N	N	1	both	*	345
contig_346	61897	4	N	N	1	both	*	346
contig_347	53046	7	N	N	1	both	*	347
contig_348	22404	3	N	N	1	both	*	348
contig_349	11485	4	N	N	1	both	*	349
contig_350	12090	7	N	N	1	both	*	350
contig_351	48593	4	N	N	1	both	*	351
contig_352	16379	3	N	N	1	both	*	352
contig_353	19520	4	N	N	1	both	*	353
contig_354	17184	3	N	N	1	both	*	354
contig_5	96819	9	N	Y	2	both	*	5
contig_8	18708	8	N	Y	2	both	*	8
contig_23	15179	11	N	Y	2	both	*	23
contig_25	126733	8	N	Y	2	both	*	25
contig_28	43646	8	N	Y	2	both	*	28
contig_71	49081	9	N	Y	2	both	*	71
contig_78	20795	11	N	Y	2	both	*	78
contig_119	21816	9	N	Y	2	both	*	119
contig_131	14953	9	N	Y	2	both	*	131
contig_197	21361	8	N	Y	2	both	*	197
contig_231	39650	11	N	Y	2	both	*	231
contig_290	12104	9	N	Y	2	both	*	290
