#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_204	22370	6	N	N	1	*	*,204,*
contig_230	22294	9	N	N	1	*	*,230,*
contig_197	22291	11	N	Y	2	*	*,197,*
contig_145	22256	7	N	N	1	*	*,145,*
contig_141	22185	7	N	N	1	*	*,141,*
contig_331	21916	7	N	N	1	*	*,331,*
contig_99	21902	10	N	N	1	*	*,99,*
contig_78	21773	15	N	Y	2	*	*,78,*
contig_250	21620	4	N	N	1	*	*,250,*
contig_196	21519	8	N	N	1	*	*,196,*
contig_12	21502	6	N	N	1	*	*,12,*
contig_192	21486	6	N	N	1	*	*,192,*
contig_217	21378	3	N	N	1	*	*,217,*
contig_213	21368	8	N	N	1	*	*,213,*
contig_59	21216	6	N	N	1	*	*,59,*
contig_246	21152	6	N	N	1	*	*,246,*
contig_326	21017	10	N	N	1	*	*,326,*
contig_27	20735	8	N	N	1	*	*,27,*
contig_200	20619	5	N	N	1	*	*,200,*
contig_276	20468	9	N	N	1	*	*,276,*
contig_302	20466	12	N	N	1	*	*,302,*
contig_173	20451	8	N	N	2	*	*,173,*
contig_353	20389	5	N	N	1	*	*,353,*
contig_333	20331	12	N	N	2	*	*,333,*
contig_203	20096	7	N	N	1	*	*,203,*
contig_61	20084	8	N	N	1	*	*,61,*
contig_120	19920	6	N	N	1	*	*,120,*
contig_225	19865	6	N	N	1	*	*,225,*
contig_185	19806	10	N	N	1	*	*,185,*
contig_174	19625	5	N	N	1	*	*,174,*
contig_183	19607	7	N	N	1	*	*,183,*
contig_8	19569	9	N	Y	2	*	*,8,*
contig_234	19503	4	N	N	1	*	*,234,*
contig_162	19319	4	N	N	1	*	*,162,*
contig_146	19136	8	N	N	1	*	*,146,*
contig_354	18836	5	N	N	1	*	*,354,*
contig_206	18804	6	N	N	1	*	*,206,*
contig_294	18756	3	N	N	1	*	*,294,*
contig_316	18750	10	N	N	1	*	*,316,*
contig_338	18742	4	N	N	1	*	*,338,*
contig_265	18688	7	N	N	1	*	*,265,*
contig_328	18668	6	N	N	1	*	*,328,*
contig_144	18656	3	N	N	1	*	*,144,*
contig_260	18615	7	N	N	1	*	*,260,*
contig_272	18546	6	N	N	1	*	*,272,*
contig_227	18475	3	N	N	1	*	*,227,*
contig_309	18445	10	N	N	1	*	*,309,*
contig_305	18400	6	N	N	1	*	*,305,*
contig_191	18032	8	N	N	1	*	*,191,*
contig_293	17946	4	N	N	1	*	*,293,*
contig_176	17782	4	N	N	1	*	*,176,*
contig_280	17776	12	N	N	1	*	*,280,*
contig_352	17648	6	N	N	1	*	*,352,*
contig_345	17607	4	N	N	1	*	*,345,*
contig_269	17450	6	N	N	1	*	*,269,*
contig_264	17384	8	N	N	1	*	*,264,*
contig_266	17350	3	N	N	1	*	*,266,*
contig_303	17299	7	N	N	1	*	*,303,*
contig_154	17125	4	N	N	1	*	*,154,*
contig_232	17124	4	N	N	1	*	*,232,*
contig_253	16942	6	N	N	1	*	*,253,*
contig_237	16922	4	N	N	1	*	*,237,*
contig_107	16919	6	N	N	1	*	*,107,*
contig_195	16877	4	N	N	1	*	*,195,*
contig_171	16772	10	N	N	1	*	*,171,*
contig_134	16732	9	N	N	1	*	*,134,*
contig_311	16687	4	N	N	1	*	*,311,*
contig_241	16619	5	N	N	1	*	*,241,*
contig_159	16299	6	N	N	1	*	*,159,*
contig_212	16269	9	N	N	1	*	*,212,*
contig_87	16257	8	N	N	1	*	*,87,*
contig_165	16113	9	N	N	1	*	*,165,*
contig_343	15924	6	N	N	1	*	*,343,*
contig_322	15873	9	N	N	1	*	*,322,*
contig_292	15857	8	N	N	1	*	*,292,*
contig_23	15829	19	N	Y	3	*	*,23,*
contig_131	15720	13	N	Y	2	*	*,131,*
contig_186	15658	9	N	N	1	*	*,186,*
contig_226	15475	5	N	N	1	*	*,226,*
contig_244	15465	6	N	N	1	*	*,244,*
contig_193	15385	7	N	N	1	*	*,193,*
contig_210	15365	6	N	N	1	*	*,210,*
contig_281	15249	5	N	N	1	*	*,281,*
contig_184	15197	8	N	N	1	*	*,184,*
contig_325	15193	7	N	N	1	*	*,325,*
contig_222	15133	4	N	N	1	*	*,222,*
contig_243	15006	3	N	N	1	*	*,243,*
contig_221	14966	5	N	N	1	*	*,221,*
contig_50	14916	6	N	N	1	*	*,50,*
contig_205	14854	7	N	N	1	*	*,205,*
contig_75	14850	10	N	N	1	*	*,75,*
contig_235	14399	7	N	N	1	*	*,235,*
contig_249	14188	7	N	N	1	*	*,249,*
contig_124	14128	9	N	N	1	*	*,124,*
contig_125	14121	8	N	N	1	*	*,125,*
contig_82	14110	5	N	N	1	*	*,82,*
contig_306	14061	7	N	N	1	*	*,306,*
contig_336	14034	5	N	N	1	*	*,336,*
contig_211	13824	5	N	N	1	*	*,211,*
contig_81	13774	5	N	N	1	*	*,81,*
contig_118	13655	7	N	N	1	*	*,118,*
contig_86	13551	6	N	N	1	*	*,86,*
contig_101	13461	6	N	N	1	*	*,101,*
contig_257	13028	5	N	N	1	*	*,257,*
contig_152	13001	6	N	N	1	*	*,152,*
contig_166	12982	7	N	N	1	*	*,166,*
contig_314	12837	5	N	N	1	*	*,314,*
contig_315	12742	5	N	N	1	*	*,315,*
contig_139	12730	11	N	N	1	*	*,139,*
contig_318	12720	4	N	N	1	*	*,318,*
contig_350	12695	11	N	N	1	*	*,350,*
contig_290	12652	13	N	Y	2	*	*,290,*
contig_339	12568	3	N	N	1	*	*,339,*
contig_262	12523	4	N	N	1	*	*,262,*
contig_349	12286	6	N	N	1	*	*,349,*
contig_126	12142	9	N	N	1	*	*,126,*
contig_334	12048	7	N	N	1	*	*,334,*
contig_259	11957	3	N	N	1	*	*,259,*
contig_274	11847	5	N	N	1	*	*,274,*
contig_34	11760	6	N	N	1	*	*,34,*
contig_268	11641	7	N	N	1	*	*,268,*
contig_169	11577	4	N	N	1	*	*,169,*
contig_223	11526	9	N	N	1	*	*,223,*
contig_158	11520	10	N	N	1	*	*,158,*
contig_202	11416	6	N	N	1	*	*,202,*
contig_229	11392	4	N	N	1	*	*,229,*
contig_26	11355	8	N	N	1	*	*,26,*
contig_22	11292	5	N	N	1	*	*,22,*
contig_92	11274	4	N	N	1	*	*,92,*
contig_42	11177	4	N	N	1	*	*,42,*
contig_19	11073	3	N	N	1	*	*,19,*
contig_330	11049	5	N	N	1	*	*,330,*
contig_245	10990	3	N	N	1	*	*,245,*
contig_304	10985	5	N	N	1	*	*,304,*
contig_207	10884	9	N	N	1	*	*,207,*
contig_307	10755	6	N	N	1	*	*,307,*
contig_312	10709	6	N	N	1	*	*,312,*
contig_299	10613	7	N	N	1	*	*,299,*
contig_189	10472	7	N	N	1	*	*,189,*
contig_216	10470	8	N	N	1	*	*,216,*
contig_108	10462	4	N	N	1	*	*,108,*
contig_153	10412	3	N	N	1	*	*,153,*
contig_115	10336	7	N	N	1	*	*,115,*
contig_310	10265	3	N	N	1	*	*,310,*
contig_291	10160	4	N	N	1	*	*,291,*
contig_254	10059	9	N	N	1	*	*,254,*
contig_160	10055	12	N	N	2	*	*,160,*
contig_70	9969	5	N	N	1	*	*,70,*
contig_278	9929	5	N	N	1	*	*,278,*
contig_296	9922	8	N	N	1	*	*,296,*
contig_208	9916	3	N	N	1	*	*,208,*
contig_261	9816	7	N	N	1	*	*,261,*
contig_279	9776	9	N	N	1	*	*,279,*
contig_271	9738	3	N	N	1	*	*,271,*
contig_215	9636	8	N	N	2	*	*,215,*
contig_286	9629	4	N	N	1	*	*,286,*
contig_248	9614	3	N	N	1	*	*,248,*
contig_321	9539	3	N	N	1	*	*,321,*
contig_301	9261	5	N	N	1	*	*,301,*
contig_300	9164	5	N	N	1	*	*,300,*
contig_54	8830	5	N	N	1	*	*,54,*
contig_138	8756	5	N	N	1	*	*,138,*
contig_255	8594	8	N	N	2	*	*,255,*
contig_285	8581	4	N	N	1	*	*,285,*
contig_68	8414	6	N	N	1	*	*,68,*
contig_137	8221	5	N	N	1	*	*,137,*
contig_344	7853	4	N	N	1	*	*,344,*
contig_181	7806	8	N	N	1	*	*,181,*
contig_284	7561	4	N	N	1	*	*,284,*
contig_267	7512	4	N	N	1	*	*,267,*
contig_182	7361	5	N	N	1	*	*,182,*
contig_109	7278	3	N	N	1	*	*,109,*
contig_308	7129	4	N	N	1	*	*,308,*
contig_220	7019	5	N	N	1	*	*,220,*
contig_320	6938	7	N	N	1	*	*,320,*
contig_179	6277	3	N	N	1	*	*,179,*
contig_233	6098	4	N	N	1	*	*,233,*
