#seq_name	length	coverage
contig_211	13824	5
contig_212	16269	9
contig_213	21368	8
contig_214	22636	5
contig_215	9636	8
contig_216	10470	8
contig_217	21378	3
contig_218	29686	8
contig_219	79592	12
contig_22	11292	5
contig_220	7019	5
contig_221	14966	5
contig_222	15133	4
contig_223	11526	9
contig_224	40975	7
contig_225	19865	6
contig_226	15475	5
contig_227	18475	3
contig_228	26141	8
contig_229	11392	4
contig_23	15829	19
contig_230	22294	9
contig_231	41439	16
contig_232	17124	4
contig_233	6098	4
contig_234	19503	4
contig_235	14399	7
contig_236	37517	6
contig_237	16922	4
contig_238	193863	10
contig_239	22847	7
contig_24	27929	6
contig_240	37900	4
contig_241	16619	5
contig_242	27108	8
contig_243	15006	3
contig_244	15465	6
contig_245	10990	3
contig_246	21152	6
contig_247	156227	9
contig_248	9614	3
contig_249	14188	7
contig_25	133796	11
contig_250	21620	4
contig_251	33740	5
contig_252	67466	9
contig_253	16942	6
contig_254	10059	9
contig_255	8594	8
contig_256	53496	10
contig_257	13028	5
contig_258	41428	6
contig_259	11957	3
contig_26	11355	8
contig_260	18615	7
contig_261	9816	7
contig_262	12523	4
contig_263	75714	12
contig_264	17384	8
contig_265	18688	7
contig_266	17350	3
contig_267	7512	4
contig_268	11641	7
contig_269	17450	6
contig_27	20735	8
contig_270	35411	6
contig_271	9738	3
contig_272	18546	6
contig_273	136129	12
contig_274	11847	5
contig_275	26923	5
contig_276	20468	9
contig_277	140921	10
contig_278	9929	5
contig_279	9776	9
contig_28	45356	11
contig_280	17776	12
contig_281	15249	5
contig_282	57455	10
contig_283	46595	8
contig_284	7561	4
contig_285	8581	4
contig_286	9629	4
contig_287	85725	10
contig_288	69815	11
contig_289	42335	9
contig_29	117432	10
contig_290	12652	13
contig_291	10160	4
contig_292	15857	8
contig_293	17946	4
contig_294	18756	3
contig_295	33043	5
contig_296	9922	8
contig_297	35810	10
contig_298	40396	7
contig_299	10613	7
contig_3	77376	12
contig_30	70388	12
contig_300	9164	5
contig_301	9261	5
contig_302	20466	12
contig_303	17299	7
contig_304	10985	5
contig_305	18400	6
contig_306	14061	7
contig_307	10755	6
contig_308	7129	4
contig_309	18445	10
contig_31	35007	7
contig_310	10265	3
contig_311	16687	4
contig_312	10709	6
contig_313	165042	7
contig_314	12837	5
contig_315	12742	5
contig_316	18750	10
contig_317	32964	9
contig_318	12720	4
contig_319	73021	9
contig_32	36852	8
contig_320	6938	7
contig_321	9539	3
contig_322	15873	9
contig_323	62798	10
contig_324	52932	8
contig_325	15193	7
contig_326	21017	10
contig_327	47402	8
contig_328	18668	6
contig_329	199549	10
contig_33	150291	8
contig_330	11049	5
contig_331	21916	7
contig_332	63909	9
contig_333	20331	12
contig_334	12048	7
contig_335	94658	12
contig_336	14034	5
contig_337	105750	11
contig_338	18742	4
contig_339	12568	3
contig_34	11760	6
contig_340	25785	10
contig_341	60306	9
contig_342	62739	6
contig_343	15924	6
contig_344	7853	4
contig_345	17607	4
contig_346	65902	6
contig_347	55935	10
contig_348	24047	4
contig_349	12286	6
contig_35	147390	10
contig_350	12695	11
contig_351	51863	6
contig_352	17648	6
contig_353	20389	5
contig_354	18836	5
contig_36	45471	8
contig_37	50826	9
contig_38	45213	6
contig_39	52735	8
contig_4	31113	6
contig_40	29956	7
contig_41	139030	12
contig_42	11177	4
contig_43	49463	7
contig_44	36304	9
contig_45	97033	8
contig_46	48275	6
contig_47	37037	10
contig_48	49303	10
contig_49	71077	8
contig_5	101623	13
contig_50	14916	6
contig_51	31874	8
contig_52	25860	8
contig_53	28627	6
contig_54	8830	5
contig_55	37963	8
contig_56	62490	9
contig_57	47558	11
contig_58	27345	8
contig_59	21216	6
contig_6	75592	7
contig_60	25496	10
contig_61	20084	8
contig_62	44817	8
contig_63	25491	7
contig_64	91687	9
contig_65	91546	11
contig_66	70852	8
contig_67	116412	9
contig_68	8414	6
contig_69	54333	9
contig_7	44808	7
contig_70	9969	5
contig_71	51431	14
contig_72	54600	11
contig_73	80081	6
contig_74	24057	6
contig_75	14850	10
contig_76	30051	7
contig_77	43034	10
contig_78	21773	15
contig_79	55363	9
contig_8	19569	9
contig_80	45287	8
contig_81	13774	5
contig_82	14110	5
contig_83	36983	7
contig_84	59241	8
contig_85	53735	7
contig_86	13551	6
contig_87	16257	8
contig_88	34445	5
contig_89	22784	5
contig_9	126230	10
contig_90	67725	11
contig_91	64119	11
contig_92	11274	4
contig_93	105900	11
contig_94	59378	9
contig_95	81230	13
contig_96	25668	9
contig_97	23691	7
contig_98	95356	8
contig_99	21902	10
